State,County,Teen births
AK,Aleutians West Census Area,21.6
AK,Anchorage Borough,37.7
AK,Anchorage Borough,36.7
AK,Bethel Census Area,80.3
AK,Bethel Census Area,81.0
AK,Dillingham Census Area,55.3
AK,Dillingham Census Area,57.6
AK,Fairbanks North Star Borough,38.1
AK,Fairbanks North Star Borough,37.5
AK,Haines Borough,
AK,Haines Borough,
AK,Juneau Borough,27.2
AK,Juneau Borough,25.6
AK,Kenai Peninsula Borough,30.2
AK,Kenai Peninsula Borough,29.6
AK,Ketchikan Gateway Borough,30.4
AK,Ketchikan Gateway Borough,29.8
AK,Kodiak Island Borough,32.2
AK,Kodiak Island Borough,31.8
AK,Lake and Peninsula Borough,52.0
AK,Lake and Peninsula Borough,49.1
AK,Matanuska-Susitna Borough,32.5
AK,Matanuska-Susitna Borough,32.6
AK,Nome Census Area,96.7
AK,Nome Census Area,94.0
AK,North Slope Borough,100.2
AK,North Slope Borough,92.2
AK,Northwest Arctic Borough,96.0
AK,Northwest Arctic Borough,94.7
AK,Prince of Wales-Outer Ketchikan Census Area,50.5
AK,Prince of Wales-Outer Ketchikan Census Area,47.9
AK,Sitka Borough,27.2
AK,Sitka Borough,28.4
AK,Skagway-Hoonah-Angoon Census Area,28.5
AK,Skagway-Hoonah-Angoon Census Area,26.3
AK,Southeast Fairbanks Census Area,37.3
AK,Southeast Fairbanks Census Area,37.6
AK,Valdez-Cordova Census Area,25.5
AK,Valdez-Cordova Census Area,24.5
AK,Wade Hampton Census Area,103.4
AK,Wade Hampton Census Area,107.1
AK,Wrangell-Petersburg Census Area,33.0
AK,Wrangell-Petersburg Census Area,35.9
AK,Yukon-Koyukuk Census Area,60.2
AK,Yukon-Koyukuk Census Area,61.5
AL,Autauga County,39.0
